;MV1_Singlecell_C;MV2_Singlecell_R;MV3_Singlecell_N;MV4_Cellgroups_C;MV5_Cellgroups_R;MV6_Cellgroups_N;Average_Cellgroups;Average_Singlecell;Average_C;Average_R;Average_N
Cre02.g076600.v5.5;199;68;127;133;33;203;123;131,3333333;166;50,5;165
Cre02.g076625.v5.5;11;2;1;0;0;5;1,666666667;4,666666667;5,5;1;3
Cre02.g076650.v5.5;1132;102;254;265;184;403;284;496;698,5;143;328,5
Cre02.g076663.v5.5;17;1;6;11;8;28;15,66666667;8;14;4,5;17
Cre02.g076700.v5.5;120;125;120;207;154;249;203,3333333;121,6666667;163,5;139,5;184,5
Cre02.g076750.v5.5;87;34;102;100;67;47;71,33333333;74,33333333;93,5;50,5;74,5
Cre02.g076800.v5.5;371;84;173;103;54;171;109,3333333;209,3333333;237;69;172
Cre02.g076850.v5.5;125;91;90;75;51;58;61,33333333;102;100;71;74
Cre02.g076900.v5.5;1811;1074;1349;1657;1165;1666;1496;1411,333333;1734;1119,5;1507,5
Cre02.g076950.v5.5;2216;280;627;645;354;1156;718,3333333;1041;1430,5;317;891,5
Cre02.g076987.v5.5;16;5;4;11;6;9;8,666666667;8,333333333;13,5;5,5;6,5
Cre02.g077024.v5.5;0;1;0;1;1;2;1,333333333;0,333333333;0,5;1;1
Cre02.g077061.v5.5;52;19;28;31;12;28;23,66666667;33;41,5;15,5;28
Cre02.g077100.v5.5;1169;604;852;884;703;797;794,6666667;875;1026,5;653,5;824,5
Cre02.g077150.v5.5;80;65;113;90;71;152;104,3333333;86;85;68;132,5
Cre02.g077200.v5.5;5;23;17;38;28;71;45,66666667;15;21,5;25,5;44
Cre02.g077250.v5.5;14;5;4;11;27;20;19,33333333;7,666666667;12,5;16;12
Cre02.g077300.v5.5;5043;1903;5096;5924;3323;6795;5347,333333;4014;5483,5;2613;5945,5
Cre02.g077350.v5.5;496;313;552;644;290;901;611,6666667;453,6666667;570;301,5;726,5
Cre02.g077401.v5.5;180;86;99;102;99;120;107;121,6666667;141;92,5;109,5
Cre02.g077451.v5.5;73;42;54;45;34;45;41,33333333;56,33333333;59;38;49,5
Cre02.g077500.v5.5;184;169;237;104;94;76;91,33333333;196,6666667;144;131,5;156,5
Cre02.g077550.v5.5;4012;660;1072;753;722;1422;965,6666667;1914,666667;2382,5;691;1247
Cre02.g077600.v5.5;327;194;213;365;206;247;272,6666667;244,6666667;346;200;230
Cre02.g077650.v5.5;123;104;127;161;110;114;128,3333333;118;142;107;120,5
Cre02.g077700.v5.5;284;122;174;138;75;164;125,6666667;193,3333333;211;98,5;169
Cre02.g077750.v5.5;8825;3553;8226;2029;1022;4264;2438,333333;6868;5427;2287,5;6245
Cre02.g077800.v5.5;9433;1718;2778;5564;3788;4990;4780,666667;4643;7498,5;2753;3884
Cre02.g077850.v5.5;4416;668;875;583;798;1242;874,3333333;1986,333333;2499,5;733;1058,5
Cre02.g077900.v5.5;99;40;92;108;53;98;86,33333333;77;103,5;46,5;95
Cre02.g077925.v5.5;26;2;3;2;2;2;2;10,33333333;14;2;2,5
Cre02.g077951.v5.5;190;97;134;141;140;120;133,6666667;140,3333333;165,5;118,5;127
Cre02.g077976.v5.5;0;1;2;13;8;14;11,66666667;1;6,5;4,5;8
Cre02.g078000.v5.5;102;35;61;48;52;60;53,33333333;66;75;43,5;60,5
Cre02.g078050.v5.5;170;37;96;238;181;178;199;101;204;109;137
Cre02.g078100.v5.5;864;322;810;880;506;1035;807;665,3333333;872;414;922,5
Cre02.g078150.v5.5;209;63;122;182;134;168;161,3333333;131,3333333;195,5;98,5;145
Cre02.g078200.v5.5;213;90;141;98;47;198;114,3333333;148;155,5;68,5;169,5
Cre02.g078226.v5.5;414;192;303;217;97;164;159,3333333;303;315,5;144,5;233,5
Cre02.g078251.v5.5;0;0;1;1;0;0;0,333333333;0,333333333;0,5;0;0,5
Cre02.g078300.v5.5;7996;5698;6139;4928;3466;2530;3641,333333;6611;6462;4582;4334,5
Cre02.g078316.v5.5;103;74;88;164;118;136;139,3333333;88,33333333;133,5;96;112
Cre02.g078350.v5.5;21;8;1;10;8;32;16,66666667;10;15,5;8;16,5
Cre02.g078400.v5.5;12;0;2;2;1;5;2,666666667;4,666666667;7;0,5;3,5
Cre02.g078450.v5.5;195;91;129;144;70;150;121,3333333;138,3333333;169,5;80,5;139,5
Cre02.g078476.v5.5;0;0;0;0;0;0;0;0;0;0;0
Cre02.g078500.v5.5;426;165;432;229;183;204;205,3333333;341;327,5;174;318
Cre02.g078507.v5.5;63;84;80;106;90;115;103,6666667;75,66666667;84,5;87;97,5
Cre02.g078550.v5.5;1403;1123;556;1175;762;1496;1144,333333;1027,333333;1289;942,5;1026
Cre02.g078600.v5.5;617;523;248;562;336;482;460;462,6666667;589,5;429,5;365
Cre02.g078650.v5.5;210;105;180;166;157;191;171,3333333;165;188;131;185,5
Cre02.g078700.v5.5;477;260;492;822;569;951;780,6666667;409,6666667;649,5;414,5;721,5
Cre02.g078750.v5.5;63;61;64;35;30;110;58,33333333;62,66666667;49;45,5;87
Cre02.g078777.v5.5;14;12;13;10;5;29;14,66666667;13;12;8,5;21
Cre02.g078804.v5.5;418;116;178;248;343;1536;709;237,3333333;333;229,5;857
Cre02.g078831.v5.5;10;6;22;8;7;16;10,33333333;12,66666667;9;6,5;19
Cre02.g078858.v5.5;212;153;155;225;190;407;274;173,3333333;218,5;171,5;281
Cre02.g078885.v5.5;277;160;217;206;159;231;198,6666667;218;241,5;159,5;224
Cre02.g078912.v5.5;13;16;25;35;17;48;33,33333333;18;24;16,5;36,5
Cre02.g078939.v5.5;1;1;17;1;10;13;8;6,333333333;1;5,5;15
Cre02.g078950.v5.5;313;79;174;165;148;301;204,6666667;188,6666667;239;113,5;237,5
Cre02.g078966.v5.5;84;45;50;63;43;46;50,66666667;59,66666667;73,5;44;48
Cre02.g079000.v5.5;0;1;2;6;4;0;3,333333333;1;3;2,5;1
Cre02.g079003.v5.5;0;0;0;0;0;0;0;0;0;0;0
Cre02.g079004.v5.5;239;143;189;244;177;327;249,3333333;190,3333333;241,5;160;258
Cre02.g079005.v5.5;6;1;2;6;5;6;5,666666667;3;6;3;4
Cre02.g079050.v5.5;2;0;0;0;0;0;0;0,666666667;1;0;0
Cre02.g079100.v5.5;32;14;62;68;29;81;59,33333333;36;50;21,5;71,5
Cre02.g079150.v5.5;76;28;76;75;46;110;77;60;75,5;37;93
Cre02.g079200.v5.5;285;212;314;297;162;383;280,6666667;270,3333333;291;187;348,5
Cre02.g079250.v5.5;37;10;19;39;37;41;39;22;38;23,5;30
Cre02.g079300.v5.5;1391;322;656;481;227;723;477;789,6666667;936;274,5;689,5
Cre02.g079351.v5.5;36;4;50;30;18;24;24;30;33;11;37
Cre02.g079400.v5.5;800;539;703;725;450;787;654;680,6666667;762,5;494,5;745
Cre02.g079450.v5.5;186;39;45;7;5;24;12;90;96,5;22;34,5
Cre02.g079500.v5.5;4;3;1;1;0;4;1,666666667;2,666666667;2,5;1,5;2,5
Cre02.g079550.v5.5;2639;510;855;458;297;1101;618,6666667;1334,666667;1548,5;403,5;978
Cre02.g079600.v5.5;544;745;972;768;505;809;694;753,6666667;656;625;890,5
Cre02.g079650.v5.5;371;838;520;1477;1110;1466;1351;576,3333333;924;974;993
Cre02.g079700.v5.5;1038;435;990;1288;651;1177;1038,666667;821;1163;543;1083,5
Cre02.g079750.v5.5;103;92;121;83;85;55;74,33333333;105,3333333;93;88,5;88
Cre02.g079800.v5.5;2093;1303;1865;1239;1044;1428;1237;1753,666667;1666;1173,5;1646,5
Cre02.g079850.v5.5;74;60;84;45;57;73;58,33333333;72,66666667;59,5;58,5;78,5
Cre02.g079926.v5.5;28;11;10;9;14;65;29,33333333;16,33333333;18,5;12,5;37,5
Cre02.g080000.v5.5;0;0;0;0;0;0;0;0;0;0;0
Cre02.g080050.v5.5;0;1;0;0;1;0;0,333333333;0,333333333;0;1;0
Cre02.g080100.v5.5;120;70;147;61;58;38;52,33333333;112,3333333;90,5;64;92,5
Cre02.g080150.v5.5;149;61;105;100;44;412;185,3333333;105;124,5;52,5;258,5
Cre02.g080200.v5.5;7254;8320;8924;5179;3780;4046;4335;8166;6216,5;6050;6485
Cre02.g080250.v5.5;383;265;361;301;170;241;237,3333333;336,3333333;342;217,5;301
Cre02.g080300.v5.5;172;65;94;122;64;137;107,6666667;110,3333333;147;64,5;115,5
Cre02.g080350.v5.5;185;143;196;168;159;275;200,6666667;174,6666667;176,5;151;235,5
Cre02.g080400.v5.5;73;50;55;57;47;36;46,66666667;59,33333333;65;48,5;45,5
Cre02.g080450.v5.5;17;5;9;8;23;11;14;10,33333333;12,5;14;10
Cre02.g080500.v5.5;488;342;398;92;70;85;82,33333333;409,3333333;290;206;241,5
Cre02.g080550.v5.5;24;17;11;12;11;4;9;17,33333333;18;14;7,5
Cre02.g080600.v5.5;108;560;82;16;13;156;61,66666667;250;62;286,5;119
Cre02.g080650.v5.5;1081;903;868;510;499;1050;686,3333333;950,6666667;795,5;701;959
Cre02.g080700.v5.5;1021;1227;943;558;530;1148;745,3333333;1063,666667;789,5;878,5;1045,5
Cre02.g080750.v5.5;1583;544;1062;679;427;592;566;1063;1131;485,5;827
Cre02.g080800.v5.5;62;41;76;57;58;99;71,33333333;59,66666667;59,5;49,5;87,5
Cre02.g080850.v5.5;37;35;42;40;30;53;41;38;38,5;32,5;47,5
Cre02.g080900.v5.5;147;327;398;251;197;212;220;290,6666667;199;262;305
Cre02.g080950.v5.5;288;64;139;100;51;154;101,6666667;163,6666667;194;57,5;146,5
Cre02.g081000.v5.5;12;18;13;22;13;22;19;14,33333333;17;15,5;17,5
Cre02.g081050.v5.5;626;235;688;444;184;388;338,6666667;516,3333333;535;209,5;538
Cre02.g081100.v5.5;556;242;428;524;362;790;558,6666667;408,6666667;540;302;609
Cre02.g081150.v5.5;16;3;3;6;6;16;9,333333333;7,333333333;11;4,5;9,5
Cre02.g081176.v5.5;56;33;48;76;43;92;70,33333333;45,66666667;66;38;70
Cre02.g081200.v5.5;156;74;102;93;54;118;88,33333333;110,6666667;124,5;64;110
Cre02.g081250.v5.5;312;307;172;258;138;144;180;263,6666667;285;222,5;158
Cre02.g081300.v5.5;304;272;496;360;230;301;297;357,3333333;332;251;398,5
Cre02.g081350.v5.5;810;352;995;405;268;284;319;719;607,5;310;639,5
Cre02.g081400.v5.5;75;103;176;138;51;125;104,6666667;118;106,5;77;150,5
Cre02.g081450.v5.5;63;36;76;45;35;43;41;58,33333333;54;35,5;59,5
Cre02.g081500.v5.5;65;20;52;41;20;59;40;45,66666667;53;20;55,5
Cre02.g081550.v5.5;191;87;283;315;175;321;270,3333333;187;253;131;302
Cre02.g081600.v5.5;289;136;209;214;140;212;188,6666667;211,3333333;251,5;138;210,5
Cre02.g081650.v5.5;93;58;88;47;41;71;53;79,66666667;70;49,5;79,5
Cre02.g081700.v5.5;69;42;24;57;19;323;133;45;63;30,5;173,5
Cre02.g081750.v5.5;33;29;51;36;18;65;39,66666667;37,66666667;34,5;23,5;58
Cre02.g081800.v5.5;374;112;207;115;101;119;111,6666667;231;244,5;106,5;163
Cre02.g081850.v5.5;42;69;62;34;13;36;27,66666667;57,66666667;38;41;49
Cre02.g081900.v5.5;49;70;64;76;58;81;71,66666667;61;62,5;64;72,5
Cre02.g081950.v5.5;624;109;203;254;100;228;194;312;439;104,5;215,5
Cre02.g082000.v5.5;40;39;16;24;18;18;20;31,66666667;32;28,5;17
Cre02.g082050.v5.5;19;5;21;47;32;38;39;15;33;18,5;29,5
Cre02.g082100.v5.5;387;138;288;342;196;377;305;271;364,5;167;332,5
Cre02.g082150.v5.5;22;15;26;26;10;48;28;21;24;12,5;37
Cre02.g082200.v5.5;50;39;38;26;9;32;22,33333333;42,33333333;38;24;35
Cre02.g082250.v5.5;155;98;151;124;83;117;108;134,6666667;139,5;90,5;134
Cre02.g082300.v5.5;447;137;429;559;226;707;497,3333333;337,6666667;503;181,5;568
Cre02.g082350.v5.5;208;151;252;210;174;284;222,6666667;203,6666667;209;162,5;268
Cre02.g082400.v5.5;182;64;52;26;35;40;33,66666667;99,33333333;104;49,5;46
Cre02.g082450.v5.5;20;33;43;22;16;27;21,66666667;32;21;24,5;35
Cre02.g082500.v5.5;1919;4249;2282;2167;1976;1122;1755;2816,666667;2043;3112,5;1702
Cre02.g082550.v5.5;475;692;841;756;519;695;656,6666667;669,3333333;615,5;605,5;768
Cre02.g082576.v5.5;0;1;0;1;1;1;1;0,333333333;0,5;1;0,5
Cre02.g082600.v5.5;355;113;252;157;67;154;126;240;256;90;203
Cre02.g082651.v5.5;0;0;0;0;0;0;0;0;0;0;0
Cre02.g082700.v5.5;103;84;84;143;83;147;124,3333333;90,33333333;123;83,5;115,5
Cre02.g082750.v5.5;695;1489;1092;530;633;460;541;1092;612,5;1061;776
Cre02.g082800.v5.5;0;6;3;2;4;1;2,333333333;3;1;5;2
Cre02.g082825.v5.5;3;3;8;3;4;5;4;4,666666667;3;3,5;6,5
Cre02.g082852.v5.5;90;244;129;62;50;12;41,33333333;154,3333333;76;147;70,5
Cre02.g082877.v5.5;57;30;59;34;32;27;31;48,66666667;45,5;31;43
Cre02.g082900.v5.5;55;67;123;89;47;98;78;81,66666667;72;57;110,5
Cre02.g082950.v5.5;43;10;35;21;11;29;20,33333333;29,33333333;32;10,5;32
Cre02.g083000.v5.5;5;1;2;10;9;9;9,333333333;2,666666667;7,5;5;5,5
Cre02.g083050.v5.5;21;20;9;9;8;30;15,66666667;16,66666667;15;14;19,5
Cre02.g083065.v5.5;31;16;58;59;19;106;61,33333333;35;45;17,5;82
Cre02.g083100.v5.5;1;0;1;2;2;5;3;0,666666667;1,5;1;3
Cre02.g083180.v5.5;11;2;7;8;8;9;8,333333333;6,666666667;9,5;5;8
Cre02.g083259.v5.5;381;300;416;245;188;208;213,6666667;365,6666667;313;244;312
Cre02.g083273.v5.5;48;0;6;1;0;0;0,333333333;18;24,5;0;3
Cre02.g083300.v5.5;216;98;207;105;87;117;103;173,6666667;160,5;92,5;162
Cre02.g083350.v5.5;1;0;4;0;0;1;0,333333333;1,666666667;0,5;0;2,5
Cre02.g083354.v5.5;86;59;96;28;29;47;34,66666667;80,33333333;57;44;71,5
Cre02.g083400.v5.5;56;40;62;83;44;79;68,66666667;52,66666667;69,5;42;70,5
Cre02.g083450.v5.5;60;75;73;78;58;95;77;69,33333333;69;66,5;84
Cre02.g083500.v5.5;29;43;37;70;31;43;48;36,33333333;49,5;37;40
Cre02.g083550.v5.5;32;19;12;22;19;15;18,66666667;21;27;19;13,5
Cre02.g083600.v5.5;535;108;303;246;144;247;212,3333333;315,3333333;390,5;126;275
Cre02.g083650.v5.5;1841;753;1284;661;583;979;741;1292,666667;1251;668;1131,5
Cre02.g083700.v5.5;36;9;18;25;22;25;24;21;30,5;15,5;21,5
Cre02.g083750.v5.5;246;39;59;136;81;185;134;114,6666667;191;60;122
Cre02.g083800.v5.5;593;270;349;233;263;956;484;404;413;266,5;652,5
Cre02.g083850.v5.5;142;106;192;202;133;159;164,6666667;146,6666667;172;119,5;175,5
Cre02.g083900.v5.5;165;133;184;132;101;195;142,6666667;160,6666667;148,5;117;189,5
Cre02.g083935.v5.5;8;5;27;17;11;14;14;13,33333333;12,5;8;20,5
Cre02.g083950.v5.5;1811;1597;2321;2421;1241;2160;1940,666667;1909,666667;2116;1419;2240,5
Cre02.g084000.v5.5;1347;1138;1969;2220;1334;1785;1779,666667;1484,666667;1783,5;1236;1877
Cre02.g084050.v5.5;126;42;116;55;68;127;83,33333333;94,66666667;90,5;55;121,5
Cre02.g084100.v5.5;1613;840;1562;1701;892;1850;1481;1338,333333;1657;866;1706
Cre02.g084150.v5.5;335;213;157;447;327;404;392,6666667;235;391;270;280,5
Cre02.g084176.v5.5;2;14;3;11;2;35;16;6,333333333;6,5;8;19
Cre02.g084200.v5.5;158;79;87;58;34;52;48;108;108;56,5;69,5
Cre02.g084250.v5.5;3073;1278;2218;2448;1623;2344;2138,333333;2189,666667;2760,5;1450,5;2281
Cre02.g084300.v5.5;100;83;127;57;76;119;84;103,3333333;78,5;79,5;123
Cre02.g084350.v5.5;51;145;136;55;48;54;52,33333333;110,6666667;53;96,5;95
Cre02.g084400.v5.5;400;486;221;1515;918;1288;1240,333333;369;957,5;702;754,5
Cre02.g084450.v5.5;1126;632;596;1700;1628;1841;1723;784,6666667;1413;1130;1218,5
Cre02.g084500.v5.5;143;63;132;139;88;94;107;112,6666667;141;75,5;113
Cre02.g084550.v5.5;62;29;92;50;25;100;58,33333333;61;56;27;96
Cre02.g084600.v5.5;163;69;168;349;202;433;328;133,3333333;256;135,5;300,5
Cre02.g084650.v5.5;150;76;153;103;81;124;102,6666667;126,3333333;126,5;78,5;138,5
Cre02.g084700.v5.5;0;0;2;1;0;1;0,666666667;0,666666667;0,5;0;1,5
Cre02.g084750.v5.5;161;89;180;142;100;143;128,3333333;143,3333333;151,5;94,5;161,5
Cre02.g084800.v5.5;110;40;56;24;30;16;23,33333333;68,66666667;67;35;36
Cre02.g084850.v5.5;53;33;62;38;25;59;40,66666667;49,33333333;45,5;29;60,5
Cre02.g084873.v5.5;161;301;508;390;191;479;353,3333333;323,3333333;275,5;246;493,5
Cre02.g084900.v5.5;76;55;74;64;38;93;65;68,33333333;70;46,5;83,5
Cre02.g084950.v5.5;89;61;135;226;119;227;190,6666667;95;157,5;90;181
Cre02.g085000.v5.5;291;289;201;302;233;314;283;260,3333333;296,5;261;257,5
Cre02.g085050.v5.5;26;61;88;37;35;49;40,33333333;58,33333333;31,5;48;68,5
Cre02.g085100.v5.5;268;67;262;219;166;276;220,3333333;199;243,5;116,5;269
Cre02.g085150.v5.5;290;158;400;335;305;368;336;282,6666667;312,5;231,5;384
Cre02.g085200.v5.5;91;43;95;116;74;203;131;76,33333333;103,5;58,5;149
Cre02.g085257.v5.5;428;699;421;2534;1554;2535;2207,666667;516;1481;1126,5;1478
Cre02.g085279.v5.5;2;0;6;0;1;5;2;2,666666667;1;0,5;5,5
Cre02.g085300.v5.5;186;94;203;312;163;377;284;161;249;128,5;290
Cre02.g085326.v5.5;0;0;3;0;0;0;0;1;0;0;1,5
Cre02.g085350.v5.5;139;51;134;124;55;124;101;108;131,5;53;129
Cre02.g085400.v5.5;206;144;322;310;245;652;402,3333333;224;258;194,5;487
Cre02.g085450.v5.5;1099;896;1626;701;456;933;696,6666667;1207;900;676;1279,5
Cre02.g085500.v5.5;2;33;45;0;2;6;2,666666667;26,66666667;1;17,5;25,5
Cre02.g085550.v5.5;256;311;566;872;499;657;676;377,6666667;564;405;611,5
Cre02.g085600.v5.5;33;15;39;8;9;26;14,33333333;29;20,5;12;32,5
Cre02.g085650.v5.5;68;55;82;38;26;89;51;68,33333333;53;40,5;85,5
Cre02.g085701.v5.5;64;54;87;73;65;80;72,66666667;68,33333333;68,5;59,5;83,5
Cre02.g085750.v5.5;21;10;5;11;4;1;5,333333333;12;16;7;3
Cre02.g085800.v5.5;119;31;133;94;90;82;88,66666667;94,33333333;106,5;60,5;107,5
Cre02.g085850.v5.5;40;28;25;35;24;22;27;31;37,5;26;23,5
Cre02.g085900.v5.5;140;102;128;116;76;160;117,3333333;123,3333333;128;89;144
Cre02.g085950.v5.5;351;165;382;451;233;427;370,3333333;299,3333333;401;199;404,5
Cre02.g086000.v5.5;22;8;3;2;4;5;3,666666667;11;12;6;4
Cre02.g086050.v5.5;154;69;143;138;63;154;118,3333333;122;146;66;148,5
Cre02.g086076.v5.5;43;21;29;28;28;32;29,33333333;31;35,5;24,5;30,5
Cre02.g086100.v5.5;64;138;95;75;90;61;75,33333333;99;69,5;114;78
Cre02.g086150.v5.5;125;84;85;64;66;179;103;98;94,5;75;132
Cre02.g086200.v5.5;128;129;192;22;18;56;32;149,6666667;75;73,5;124
Cre02.g086250.v5.5;108;80;142;62;39;79;60;110;85;59,5;110,5
Cre02.g086300.v5.5;3775;1182;2519;3355;1728;1955;2346;2492;3565;1455;2237
Cre02.g086326.v5.5;0;0;0;0;0;0;0;0;0;0;0
Cre02.g086350.v5.5;263;111;219;234;162;264;220;197,6666667;248,5;136,5;241,5
Cre02.g086400.v5.5;155;64;110;40;48;41;43;109,6666667;97,5;56;75,5
Cre02.g086428.v5.5;1;1;5;0;3;4;2,333333333;2,333333333;0,5;2;4,5
Cre02.g086456.v5.5;103;44;90;109;86;156;117;79;106;65;123
Cre02.g086500.v5.5;175;94;260;222;126;419;255,6666667;176,3333333;198,5;110;339,5
Cre02.g086550.v5.5;200;82;177;154;102;231;162,3333333;153;177;92;204
Cre02.g086600.v5.5;1166;1096;1137;1163;931;1242;1112;1133;1164,5;1013,5;1189,5
Cre02.g086650.v5.5;85;27;18;50;51;46;49;43,33333333;67,5;39;32
Cre02.g086700.v5.5;121;61;81;52;66;81;66,33333333;87,66666667;86,5;63,5;81
Cre02.g086750.v5.5;189;78;320;446;223;406;358,3333333;195,6666667;317,5;150,5;363
Cre02.g086800.v5.5;12;10;11;29;15;29;24,33333333;11;20,5;12,5;20
Cre02.g086850.v5.5;85;55;138;90;66;144;100;92,66666667;87,5;60,5;141
Cre02.g086887.v5.5;245;105;236;241;194;332;255,6666667;195,3333333;243;149,5;284
Cre02.g087000.v5.5;272;137;140;209;150;164;174,3333333;183;240,5;143,5;152
Cre02.g087050.v5.5;31;57;99;49;31;85;55;62,33333333;40;44;92
Cre02.g087100.v5.5;125;144;97;24;28;8;20;122;74,5;86;52,5
Cre02.g087150.v5.5;496;1021;1227;66;34;63;54,33333333;914,6666667;281;527,5;645
Cre02.g087200.v5.5;288;139;320;231;131;228;196,6666667;249;259,5;135;274
Cre02.g087250.v5.5;708;718;521;380;315;288;327,6666667;649;544;516,5;404,5
Cre02.g087300.v5.5;107;127;122;158;116;156;143,3333333;118,6666667;132,5;121,5;139
Cre02.g087324.v5.5;317;168;278;447;332;927;568,6666667;254,3333333;382;250;602,5
Cre02.g087350.v5.5;177;34;144;102;54;198;118;118,3333333;139,5;44;171
Cre02.g087400.v5.5;0;0;0;1;0;0;0,333333333;0;0,5;0;0
Cre02.g087450.v5.5;254;137;239;160;120;130;136,6666667;210;207;128,5;184,5
Cre02.g087500.v5.5;114;14;54;27;9;137;57,66666667;60,66666667;70,5;11,5;95,5
Cre02.g087551.v5.5;289;152;238;143;121;209;157,6666667;226,3333333;216;136,5;223,5
Cre02.g087600.v5.5;382;213;419;336;183;370;296,3333333;338;359;198;394,5
Cre02.g087633.v5.5;1;1;1;1;0;0;0,333333333;1;1;0,5;0,5
Cre02.g087666.v5.5;0;0;0;0;0;0;0;0;0;0;0
Cre02.g087700.v5.5;333;361;360;200;135;177;170,6666667;351,3333333;266,5;248;268,5
Cre02.g087750.v5.5;268;123;289;450;336;394;393,3333333;226,6666667;359;229,5;341,5
Cre02.g087800.v5.5;238;104;194;196;145;194;178,3333333;178,6666667;217;124,5;194
Cre02.g087850.v5.5;227;181;589;79;43;105;75,66666667;332,3333333;153;112;347
Cre02.g087900.v5.5;821;255;633;436;91;608;378,3333333;569,6666667;628,5;173;620,5
Cre02.g087950.v5.5;734;286;528;536;293;725;518;516;635;289,5;626,5
Cre02.g088000.v5.5;353;390;540;337;253;431;340,3333333;427,6666667;345;321,5;485,5
Cre02.g088050.v5.5;49;27;51;28;15;31;24,66666667;42,33333333;38,5;21;41
Cre02.g088100.v5.5;68;46;84;51;28;50;43;66;59,5;37;67
Cre02.g088151.v5.5;209;153;222;229;146;346;240,3333333;194,6666667;219;149,5;284
Cre02.g088200.v5.5;2110;1746;1907;2069;1875;2635;2193;1921;2089,5;1810,5;2271
Cre02.g088250.v5.5;11;4;22;109;59;140;102,6666667;12,33333333;60;31,5;81
Cre02.g088300.v5.5;75;28;59;74;48;108;76,66666667;54;74,5;38;83,5
Cre02.g088350.v5.5;368;182;218;310;134;194;212,6666667;256;339;158;206
Cre02.g088400.v5.5;97;143;191;146;70;178;131,3333333;143,6666667;121,5;106,5;184,5
Cre02.g088450.v5.5;104;52;123;37;35;112;61,33333333;93;70,5;43,5;117,5
Cre02.g088500.v5.5;11;24;26;12;6;22;13,33333333;20,33333333;11,5;15;24
Cre02.g088551.v5.5;57;194;158;65;101;182;116;136,3333333;61;147,5;170
Cre02.g088600.v5.5;445;481;527;462;348;531;447;484,3333333;453,5;414,5;529
Cre02.g088650.v5.5;22;18;21;13;9;9;10,33333333;20,33333333;17,5;13,5;15
Cre02.g088651.v5.5;693;633;1082;1068;854;981;967,6666667;802,6666667;880,5;743,5;1031,5
Cre02.g088700.v5.5;258;197;342;339;188;215;247,3333333;265,6666667;298,5;192,5;278,5
Cre02.g088750.v5.5;458;180;296;259;157;244;220;311,3333333;358,5;168,5;270
Cre02.g088800.v5.5;163;74;135;119;93;136;116;124;141;83,5;135,5
Cre02.g088850.v5.5;523;450;449;259;121;202;194;474;391;285,5;325,5
Cre02.g088900.v5.5;2934;1445;3061;3177;1793;3100;2690;2480;3055,5;1619;3080,5
Cre02.g088950.v5.5;75;25;73;57;64;61;60,66666667;57,66666667;66;44,5;67
Cre02.g089000.v5.5;14;9;7;3;3;0;2;10;8,5;6;3,5
Cre02.g089050.v5.5;100;33;65;28;43;58;43;66;64;38;61,5
Cre02.g089100.v5.5;608;283;368;363;240;593;398,6666667;419,6666667;485,5;261,5;480,5
Cre02.g089150.v5.5;101;47;111;111;92;167;123,3333333;86,33333333;106;69,5;139
Cre02.g089200.v5.5;119;34;101;98;40;131;89,66666667;84,66666667;108,5;37;116
Cre02.g089237.v5.5;154;131;155;134;104;197;145;146,6666667;144;117,5;176
Cre02.g089274.v5.5;58;36;47;20;26;61;35,66666667;47;39;31;54
Cre02.g089311.v5.5;48;74;76;31;20;30;27;66;39,5;47;53
Cre02.g089350.v5.5;698;219;586;419;256;523;399,3333333;501;558,5;237,5;554,5
Cre02.g089400.v5.5;1;0;2;0;0;0;0;1;0,5;0;1
Cre02.g089450.v5.5;481;427;447;954;679;848;827;451,6666667;717,5;553;647,5
Cre02.g089500.v5.5;1443;11;289;433;134;493;353,3333333;581;938;72,5;391
Cre02.g089550.v5.5;28;1;1;38;3;3;14,66666667;10;33;2;2
Cre02.g089600.v5.5;11;10;16;12;5;23;13,33333333;12,33333333;11,5;7,5;19,5
Cre02.g089608.v5.5;25;3;4;5;1;5;3,666666667;10,66666667;15;2;4,5
Cre02.g089650.v5.5;240;77;87;136;284;178;199,3333333;134,6666667;188;180,5;132,5
Cre02.g089700.v5.5;9;3;9;23;19;58;33,33333333;7;16;11;33,5
Cre02.g089750.v5.5;17;15;30;61;48;59;56;20,66666667;39;31,5;44,5
Cre02.g089800.v5.5;162;17;61;151;114;155;140;80;156,5;65,5;108
Cre02.g089850.v5.5;41;37;25;38;33;41;37,33333333;34,33333333;39,5;35;33
Cre02.g089900.v5.5;1877;233;740;602;296;637;511,6666667;950;1239,5;264,5;688,5
Cre02.g089950.v5.5;698;342;280;380;302;634;438,6666667;440;539;322;457
Cre02.g090000.v5.5;341;135;174;175;148;142;155;216,6666667;258;141,5;158
Cre02.g090050.v5.5;6613;3033;784;2016;1137;1482;1545;3476,666667;4314,5;2085;1133
Cre02.g090100.v5.5;26;6;11;7;0;2;3;14,33333333;16,5;3;6,5
Cre02.g090150.v5.5;32;22;14;19;9;2;10;22,66666667;25,5;15,5;8
Cre02.g090200.v5.5;1;6;8;2;0;2;1,333333333;5;1,5;3;5
Cre02.g090276.v5.5;55;32;92;58;32;69;53;59,66666667;56,5;32;80,5
Cre02.g090350.v5.5;11;5;17;12;10;14;12;11;11,5;7,5;15,5
Cre02.g090400.v5.5;83;48;101;133;81;131;115;77,33333333;108;64,5;116
Cre02.g090451.v5.5;8;9;18;4;13;32;16,33333333;11,66666667;6;11;25
