;MV1_Singlecell_C;MV2_Singlecell_R;MV3_Singlecell_N;MV4_Cellgroups_C;MV5_Cellgroups_R;MV6_Cellgroups_N;Average_Cellgroups;Average_Singlecell;Average_C;Average_R;Average_N
Cre01.g003050.v5.5;101;18;65;28;24;84;45,33333333;61,33333333;64,5;21;74,5
Cre01.g003100.v5.5;0;1;0;1;1;2;1,333333333;0,333333333;0,5;1;1
Cre01.g003150.v5.5;59;34;64;31;30;54;38,33333333;52,33333333;45;32;59
Cre01.g003200.v5.5;52;49;54;47;41;34;40,66666667;51,66666667;49,5;45;44
Cre01.g003250.v5.5;0;0;0;0;0;1;0,333333333;0;0;0;0,5
Cre01.g003300.v5.5;0;72;0;0;0;1;0,333333333;24;0;36;0,5
Cre01.g003376.v5.5;247;64;406;312;146;444;300,6666667;239;279,5;105;425
Cre01.g003450.v5.5;148;60;148;88;76;76;80;118,6666667;118;68;112
Cre01.g003463.v5.5;205;132;137;142;102;141;128,3333333;158;173,5;117;139
Cre01.g003475.v5.5;0;2;2;8;7;10;8,333333333;1,333333333;4;4,5;6
Cre01.g003487.v5.5;39;18;44;46;47;63;52;33,66666667;42,5;32,5;53,5
Cre01.g003500.v5.5;189;69;118;71;71;63;68,33333333;125,3333333;130;70;90,5
Cre01.g003508.v5.5;36;25;12;30;25;11;22;24,33333333;33;25;11,5
Cre01.g003516.v5.5;419;303;250;492;376;444;437,3333333;324;455,5;339,5;347
Cre01.g003524.v5.5;587;466;407;637;389;735;587;486,6666667;612;427,5;571
Cre01.g003532.v5.5;59;37;45;99;99;80;92,66666667;47;79;68;62,5
Cre01.g003541.v5.5;0;1;1;1;1;1;1;0,666666667;0,5;1;1
Cre01.g003550.v5.5;276;211;283;358;312;284;318;256,6666667;317;261,5;283,5
Cre01.g003600.v5.5;0;0;2;0;0;0;0;0,666666667;0;0;1
Cre01.g003650.v5.5;564;247;433;427;284;412;374,3333333;414,6666667;495,5;265,5;422,5
Cre01.g003700.v5.5;73;17;34;44;62;106;70,66666667;41,33333333;58,5;39,5;70
Cre01.g003751.v5.5;67;44;64;183;90;117;130;58,33333333;125;67;90,5
Cre01.g003800.v5.5;306;20;31;196;45;52;97,66666667;119;251;32,5;41,5
Cre01.g003826.v5.5;201;66;151;124;92;163;126,3333333;139,3333333;162,5;79;157
Cre01.g003850.v5.5;98;219;95;70;91;57;72,66666667;137,3333333;84;155;76
Cre01.g003950.v5.5;327;964;1198;751;582;676;669,6666667;829,6666667;539;773;937
Cre01.g004000.v5.5;178;257;185;199;135;163;165,6666667;206,6666667;188,5;196;174
Cre01.g004050.v5.5;0;0;1;1;1;15;5,666666667;0,333333333;0,5;0,5;8
Cre01.g004124.v5.5;116;150;123;197;156;214;189;129,6666667;156,5;153;168,5
Cre01.g004157.v5.5;144;61;176;53;66;62;60,33333333;127;98,5;63,5;119
Cre01.g004200.v5.5;211;156;117;88;84;144;105,3333333;161,3333333;149,5;120;130,5
Cre01.g004250.v5.5;710;559;416;591;394;746;577;561,6666667;650,5;476,5;581
Cre01.g004300.v5.5;1440;832;1398;1396;726;2263;1461,666667;1223,333333;1418;779;1830,5
Cre01.g004350.v5.5;1170;211;462;280;182;519;327;614,3333333;725;196,5;490,5
Cre01.g004400.v5.5;128;46;89;43;74;37;51,33333333;87,66666667;85,5;60;63
Cre01.g004450.v5.5;220;324;313;286;148;285;239,6666667;285,6666667;253;236;299
Cre01.g004500.v5.5;1608;1381;2092;2351;1391;2724;2155,333333;1693,666667;1979,5;1386;2408
Cre01.g004550.v5.5;827;689;302;768;483;635;628,6666667;606;797,5;586;468,5
Cre01.g004600.v5.5;1549;149;347;568;244;745;519;681,6666667;1058,5;196,5;546
Cre01.g004651.v5.5;44;43;39;39;41;56;45,33333333;42;41,5;42;47,5
Cre01.g004700.v5.5;33;42;26;40;15;40;31,66666667;33,66666667;36,5;28,5;33
Cre01.g004750.v5.5;116;481;646;153;113;182;149,3333333;414,3333333;134,5;297;414
Cre01.g004800.v5.5;3539;533;3218;2213;978;1483;1558;2430;2876;755,5;2350,5
Cre01.g004850.v5.5;56;22;80;76;50;59;61,66666667;52,66666667;66;36;69,5
Cre01.g004900.v5.5;2432;429;1117;1454;765;1551;1256,666667;1326;1943;597;1334
Cre01.g004926.v5.5;0;0;0;0;2;2;1,333333333;0;0;1;1
Cre01.g004950.v5.5;646;408;564;476;255;475;402;539,3333333;561;331,5;519,5
Cre01.g005001.v5.5;147;123;146;92;78;171;113,6666667;138,6666667;119,5;100,5;158,5
Cre01.g005050.v5.5;3662;1395;2087;1677;1300;2026;1667,666667;2381,333333;2669,5;1347,5;2056,5
Cre01.g005100.v5.5;62;21;44;88;74;84;82;42,33333333;75;47,5;64
Cre01.g005126.v5.5;0;0;0;1;0;3;1,333333333;0;0,5;0;1,5
Cre01.g005150.v5.5;940;1774;1306;833;609;769;737;1340;886,5;1191,5;1037,5
Cre01.g005200.v5.5;527;281;606;343;284;386;337,6666667;471,3333333;435;282,5;496
Cre01.g005250.v5.5;0;0;0;0;0;0;0;0;0;0;0
Cre01.g005300.v5.5;0;0;0;0;0;0;0;0;0;0;0
Cre01.g005350.v5.5;0;0;0;0;0;2;0,666666667;0;0;0;1
Cre01.g005400.v5.5;4;1;1;2;0;3;1,666666667;2;3;0,5;2
Cre01.g005450.v5.5;599;550;256;455;290;517;420,6666667;468,3333333;527;420;386,5
Cre01.g005500.v5.5;208;50;98;52;45;67;54,66666667;118,6666667;130;47,5;82,5
Cre01.g005534.v5.5;1;3;2;2;6;4;4;2;1,5;4,5;3
Cre01.g005543.v5.5;0;0;0;1;1;0;0,666666667;0;0,5;0,5;0
Cre01.g005550.v5.5;136;114;177;90;77;210;125,6666667;142,3333333;113;95,5;193,5
Cre01.g005600.v5.5;14;12;37;42;27;33;34;21;28;19,5;35
Cre01.g005651.v5.5;5;1;2;0;0;0;0;2,666666667;2,5;0,5;1
Cre01.g005701.v5.5;213;2;56;107;51;74;77,33333333;90,33333333;160;26,5;65
Cre01.g005750.v5.5;3;2;4;1;1;0;0,666666667;3;2;1,5;2
Cre01.g005813.v5.5;572;470;936;509;291;682;494;659,3333333;540,5;380,5;809
Cre01.g005850.v5.5;51;45;67;56;55;61;57,33333333;54,33333333;53,5;50;64
Cre01.g005900.v5.5;46;46;33;60;49;86;65;41,66666667;53;47,5;59,5
Cre01.g005950.v5.5;323;304;283;133;118;146;132,3333333;303,3333333;228;211;214,5
Cre01.g006000.v5.5;53;92;79;22;40;41;34,33333333;74,66666667;37,5;66;60
Cre01.g006050.v5.5;618;276;459;399;310;447;385,3333333;451;508,5;293;453
Cre01.g006100.v5.5;18;8;19;26;7;48;27;15;22;7,5;33,5
Cre01.g006150.v5.5;329;252;439;291;180;421;297,3333333;340;310;216;430
Cre01.g006202.v5.5;0;0;0;0;0;1;0,333333333;0;0;0;0,5
Cre01.g006250.v5.5;0;1;1;0;1;0;0,333333333;0,666666667;0;1;0,5
Cre01.g006301.v5.5;32;35;41;77;59;200;112;36;54,5;47;120,5
Cre01.g006352.v5.5;7;2;0;9;6;5;6,666666667;3;8;4;2,5
Cre01.g006402.v5.5;0;0;0;0;0;0;0;0;0;0;0
Cre01.g006450.v5.5;0;0;0;1;0;2;1;0;0,5;0;1
Cre01.g006500.v5.5;0;0;0;1;0;0;0,333333333;0;0,5;0;0
Cre01.g006550.v5.5;0;3;19;166;90;147;134,3333333;7,333333333;83;46,5;83
Cre01.g006576.v5.5;0;0;0;0;0;0;0;0;0;0;0
Cre01.g006600.v5.5;1;0;0;0;0;0;0;0,333333333;0,5;0;0
Cre01.g006614.v5.5;0;0;0;0;0;0;0;0;0;0;0
Cre01.g006628.v5.5;0;0;0;0;0;0;0;0;0;0;0
Cre01.g006642.v5.5;0;0;0;0;0;0;0;0;0;0;0
Cre01.g006656.v5.5;0;0;0;0;0;0;0;0;0;0;0
Cre01.g006670.v5.5;2;0;0;0;0;0;0;0,666666667;1;0;0
