GeneID;MV1_Singlecell_C;MV2_Singlecell_R;MV3_Singlecell_N;MV4_Cellgroups_C;MV5_Cellgroups_R;MV6_Cellgroups_N;Average_Cellgroups;Average_Singlecell;Average_C;Average_R;Average_N
Cre01.g001983;8,466788598;8,03673559;8,099928536;8,097672076;8,022630473;8,369473196;8,201150908;8,163258581;8,282230337;8,029683031;8,234700866
Cre01.g002050;6,297103402;6,285582846;6,333593257;5,831726079;6,120933629;6,926034576;6,305426502;6,292898095;6,064414741;6,203258238;6,629813917
Cre01.g002100;4,766658825;5,009498127;5,076872246;4,654250666;5,118977968;4,898254861;4,951009733;4,890494498;4,710454746;5,064238047;4,987563554
Cre01.g002150;3,662549939;3,539422246;3,425130583;3,646275213;4,380574695;3,88356701;3,542367589;3,970138973;3,654412576;3,95999847;3,654348797
Cre01.g002200;7,516025415;7,294665896;7,570034054;7,883139021;7,664869826;7,852098288;7,460241788;7,800035712;7,699582218;7,479767861;7,711066171
Cre01.g002201;3,614796384;3,204004757;3,456096243;3,38955755;3,016308957;2,962959845;3,424965795;3,122942118;3,502176967;3,110156857;3,209528044
Cre01.g002203;1,272990545;0,992345178;1,392821471;1,11910262;0,992867939;1,044426131;1,219385731;1,05213223;1,196046583;0,992606559;1,218623801
Cre01.g002227;5,950375993;5,71381745;6,00810079;6,65254805;6,178258337;6,63787541;5,890764745;6,489560599;6,301462022;5,946037893;6,3229881
Cre01.g002234;5,845634938;5,934868893;5,773954641;6,113795544;6,027486083;6,087663391;5,851486157;6,076315006;5,979715241;5,981177488;5,930809016
Cre01.g002250;6,189912089;6,967986605;6,932953273;6,699585787;6,754676833;6,78245198;6,696950655;6,745571533;6,444748938;6,861331719;6,857702627
Cre01.g002300;10,9366269;11,33885881;10,82653275;10,93755493;10,9119705;10,96276404;11,03400615;10,93742982;10,93709091;11,12541466;10,89464839
Cre01.g002350;6,875315076;7,030859308;6,915288533;6,558125603;6,652774373;6,516884784;6,940487639;6,575928254;6,71672034;6,841816841;6,716086659
Cre01.g002400;5,243775547;5,700094684;5,555111105;5,178423321;5,607681875;5,196627135;5,499660445;5,327577443;5,211099434;5,653888279;5,37586912
Cre01.g002451;3,790200373;4,039090952;3,498474773;3,260584905;3,492915276;3,011975239;3,775922033;3,255158473;3,525392639;3,766003114;3,255225006
Cre01.g002500;10,13328033;11,5826356;11,039618;10,43184719;10,22057479;10,10231402;10,91851131;10,25157867;10,28256376;10,90160519;10,57096601
Cre01.g002550;9,196495128;9,337034584;8,955092933;9,542978533;9,635037116;9,641607888;9,162874215;9,606541179;9,369736831;9,48603585;9,29835041
Cre01.g002600;4,170665118;4,24156003;4,206421818;4,6089533;4,856520245;5,107323156;4,206215655;4,857598901;4,389809209;4,549040138;4,656872487
Cre01.g002650;0,345792945;0,300388867;0,293342866;0,362699184;0,541225571;0,466073892;0,313174893;0,456666216;0,354246064;0,420807219;0,379708379
